"","log2FoldChange"
"102597551",1.010104374
"102600964",1.221659427
"102590871",1.277310505
"102598439",-1.27345995
"107058370",2.222679032
"102598258",-1.124519493
"107058373",-1.057632105
"102577450",-5.194971383
"102587459",1.173096004
"102605242",1.057774775
"102590949",2.349234984
"102577453",1.666493439
"102579438",1.158449756
"102598054",1.083210762
"102599325",1.413613768
"102594419",3.319490667
"107062569",4.797242901
"102586398",1.957140752
"102586295",4.746855796
"102581569",5.217764206
"102601867",1.590114171
"102596590",-1.116367179
"102603688",1.815074964
"102580589",1.060098671
"102587993",4.032786249
"102579926",1.157668093
"102593643",-2.089547014
"102582988",-1.033668005
"102581213",1.129722138
"102582315",-1.220100911
"102588703",1.024807522
"102593679",1.602867823
"102591742",-1.025645891
"102602341",-5.607088907
"102581335",2.630777421
"102590679",2.109178954
"102601336",5.700462783
"102603731",1.880695336
"102603333",2.021733949
"102602655",-2.393403257
"102578608",1.27075899
"102590617",-1.407878248
"102596452",1.027840833
"102603079",3.977894731
"102585281",-2.044223898
"102585620",-2.044223898
"102585956",2.797625227
"102585539",1.584724555
"102598893",-2.24618128
"102601093",-1.26598551
"102605134",-2.332448039
"102601938",6.308722866
"102583173",2.199966954
"102586237",7.677997248
"107058203",5.56488498
"102589633",-1.040972012
"102583502",1.283504611
"102600044",1.679617442
"102577821",-1.298381809
"102579822",1.628670167
"102584206",2.285447442
"102579939",1.122505586
"102600465",1.196210148
"102594513",-2.488214771
"102601370",-1.379183175
"102602034",-2.077987978
"102604017",-1.540019662
"102599261",1.119135908
"102588287",-1.240995382
"102583094",1.834292327
"102582873",-1.127898857
"102581759",1.383299314
"102582606",-1.335639364
"102578328",1.246235895
"102594317",3.21770388
"107060335",4.528832725
"102593231",-1.467536159
"102605953",1.830124576
"102605292",1.745740973
"102577694",5.181174403
"102581407",1.75218335
"102596978",2.124250467
"102591552",2.173714171
"102589255",-1.29065558
"102580356",1.155934398
"102598134",1.745648853
"102598463",-1.417918944
"102601108",5.974767283
"102597167",3.626995185
"102580299",2.856660915
"102606442",-1.127083275
"102578794",2.270045322
"102583379",1.499110476
"102597296",1.290414597
"102592778",1.567484996
"102591822",1.088941236
"102590521",-1.017553092
"102587257",-1.199456345
"102595093",1.060465901
"102588336",5.10493931
"102586800",6.996002142
"107060305",3.935735413
"102595423",2.482292063
"102595852",-1.811321264
"102597723",1.732453162
"102599036",1.550854174
"107060486",-1.799287038
"102588482",-1.650117594
"102587505",-1.858444803
"102587061",1.79337269
"102602501",1.052605172
"102597941",3.539975107
"102596973",3.624981037
"102597622",3.624981037
"102591078",6.961907849
"102593562",1.433260924
"102587898",-1.564337981
"102581054",2.541347747
"102580349",-1.321300664
"102605360",1.299527932
"102594072",7.579808806
"102586669",1.630959086
"102600028",1.022687016
"102599201",-1.140540587
"102592332",2.495410122
"102587612",3.438324054
"102604373",-1.414621109
"102580949",3.999818757
"102584914",1.741095557
"102590628",-1.216589933
"102597828",1.840705895
"102600664",1.214392694
"102592315",3.272928717
"102604375",1.252202812
"102584588",3.74220592
"102584909",1.593380844
"102588330",1.404275511
"102588660",1.404275511
"102596740",1.903111151
"102591037",1.986584752
"107062300",-1.157964974
"102588582",-1.368485721
"102599492",-1.174094869
"102602456",1.622331668
"102586119",1.308233958
"102583127",1.415813292
"102602574",-2.816441899
"102601002",-3.591358149
"102589207",-1.376231284
"102606299",2.545689274
"102591846",1.708016457
"102579529",1.979874973
"102603264",-2.040956068
"102601363",1.115387018
"102603810",7.566815227
"102585258",-2.648890484
"102585597",-3.209854987
"102582859",3.57408659
"102580165",-1.079388727
"102586256",1.368509118
"102602035",1.865773672
"102604181",1.393858559
"102599591",1.137298723
"102580528",1.499708947
"107063255",2.746897163
"102604346",-1.518471663
"102580120",-3.600397713
"102601539",1.42591707
"102599320",1.280976108
"102599644",3.9921216
"102591703",1.245591712
"102584769",-1.805231097
"102592044",2.245526823
"102583236",1.40423902
"102583561",1.102869063
"102589812",1.220598113
"102593526",-1.584791311
"102584316",-2.92052404
"102582778",-1.187230761
"102581787",-1.973272583
"102601606",3.548309071
"102597367",3.308723988
"102604728",1.346797763
"102598614",1.066878515
"102585592",-1.289412419
"102597537",1.499478466
"102593793",2.094413858
"102583431",-2.405568404
"102583764",-1.389592083
"102585742",1.434563283
"102590337",4.127541676
"102596252",-1.015418708
"102587080",-2.771696947
"102583746",-1.806341076
"102583415",2.442352549
"102601498",3.484933535
"102584019",1.471606965
"102593402",2.399334946
"102580826",1.159949765
"102581898",5.086316446
"102592564",-2.639205086
"102592900",-4.79356149
"102593240",-1.035891033
"102592666",-2.013939416
"102581997",4.609278201
"102598817",-1.684801716
"102593390",-1.78717765
"102596147",1.260747921
"102583181",3.090452358
"102594117",1.011803679
"102601309",1.860697831
"102595697",1.740716744
"102586198",1.378497195
"102584118",1.020623241
"102596035",1.395808745
"102602723",3.238307291
"102586821",-1.308852332
"102580534",-1.116052544
"102603982",2.227374467
"102598306",-1.679565901
"102602753",1.680746204
"102597982",-1.235209239
"102592148",-1.566659211
"102600548",2.025132838
"102581650",3.5898043
"102588295",1.083896479
"102587258",2.423123794
"102602513",-2.208509162
"102579484",2.704081857
"102581292",5.40414734
"102600662",1.420491438
"102601008",1.420491438
"102601737",-1.841742627
"102605823",1.129014949
"102605257",1.727587911
"102578173",5.63815362
"102591186",1.436763192
"102591512",2.635975218
"102585447",2.098350278
"102586779",-1.483635537
"102590610",-1.373452559
"102592484",1.642964162
"102604093",2.530325373
"102585293",3.917974708
"102603352",-3.08846347
"102584927",-3.164112305
"102596399",1.229707812
"102585197",2.36385638
"102603240",6.799713547
"102578494",1.523559459
"102589524",2.138260447
"102599123",1.030434724
"102591450",3.441391797
"102591120",1.929524161
"102601934",1.951932535
"102587828",-1.873174075
"102588152",1.478058289
"102593583",1.226196081
"102601835",-3.577573836
"102606436",1.610783388
"102599715",1.017660238
"102605762",4.371887033
"102586831",1.693313159
"102599069",1.246696635
"102592349",1.777772707
"102579280",2.061873714
"102601791",-1.228864952
"102581278",1.666384637
"102579607",1.336917525
"102592875",1.014626356
"102579244",4.477256773
"102593516",1.119783105
"102592498",2.538397501
"102588296",1.015900346
"102593527",-1.679567827
"102593846",-1.679567827
"102579389",1.097667786
"102579714",1.041051254
"102587462",1.740845603
"102579076",1.244741414
"102580447",1.280951283
"102581132",1.029701096
"102586551",2.393566541
"102583684",-1.014616569
"102602358",1.349760006
"102582818",-1.431802845
"102580574",1.681910582
"102605820",3.32691311
"102579204",-1.179944783
"102605859",1.942268402
"102606196",1.942268402
"102589484",2.678401891
"102604456",-1.456427706
"102604232",3.084009256
"102581077",-1.210644787
"102584767",3.274335873
"102604575",-1.17981406
"102587068",1.3063076
"102596218",4.640125399
"102596891",1.480705159
"102598051",1.40494075
"102591837",2.017965382
"102577559",-1.51824382
"102585794",2.689025222
"102583828",1.114204719
"102605497",2.859290613
"102581508",-2.892869971
"102591841",3.046112229
"102589358",4.601935005
"102587513",2.053424159
"102588377",7.743209437
"102597329",1.930243734
"102603417",1.000758608
"102589039",1.692646464
"102601098",1.048218376
"102601440",2.811565708
"102593165",1.272902338
"102592495",1.433461874
"102591828",-1.067022194
"102597661",1.500660257
"102598075",1.500660257
"102585629",5.576334529
"102581992",1.369650176
"102595778",-1.353342466
"102598049",9.835296832
"102580604",4.265012739
"102598218",-1.763529804
"102593031",1.925570038
"107058583",-1.444781724
"102585525",1.180853633
"107060826",1.578455862
"107062549",2.407952164
"102603445",1.520834634
"102578188",-1.154495614
"102581507",-1.217246164
"102601302",-1.29980147
"107063235",7.18522762
"102584581",-1.4516891
"102582249",8.103438816
"107057962",1.272881585
"102585558",1.355663764
"102583448",1.738430171
"102605119",1.615237064
"102583253",3.869589194
"102586474",1.244814685
"102589525",1.713687369
"102593941",1.27047781
"102579501",2.947804866
"102596475",1.15723805
"102598019",1.916454681
"102584728",1.561828953
"102588716",-2.274869735
"107063209",3.002547297
"102598975",1.154578395
"102579027",1.33970398
"102591446",1.947239988
"102596343",1.38019749
"107060483",-1.636750642
"107057716",-1.980936487
"102586327",1.602654624
"102601473",8.347560533
"102604384",8.347560533
"102604390",3.609220531
"102606225",-1.020168358
"102593016",1.93198104
"102590720",3.649994343
"102584018",1.134321887
"102587175",1.746183576
"102587241",1.733455386
"102586126",7.913020645
"102606061",1.040866794
"102578245",-6.114149289
"102604781",-1.807037738
"102582578",1.478020989
"102589018",1.418201234
"102591772",1.577258804
"102587827",1.198044337
"102600986",5.683568541
"102604870",-1.246008862
"102584523",-1.202106764
"102600925",-1.068402378
"102603937",1.963174214
"102581756",1.503244042
"102583250",1.073385922
"102589140",1.938698085
"107057661",1.505057751
"102595854",1.845068069
"102587789",1.903022545
"102592779",1.478394136
"102592111",3.375709136
"102598267",3.396491804
"102580843",4.291460603
"102585990",1.834634834
"102594662",1.485574994
"107060375",10.18053939
"102592158",1.379570921
"102578240",1.282821961
"102598158",-2.542237393
"102579625",-2.149100508
"102599117",1.619446616
"102584338",1.115466401
"102581941",1.189999843
"102587562",3.438666436
"102596922",1.108873025
"102600477",-1.085268042
"102601832",1.828564846
"102596401",1.025404965
